Datum	Tijd	Plantsome	Product	URL	Prijs
13/04/2021	22:02:41	Devin	Dicksonia Antarctica (Tasmaanse Boomvaren)	https://www.plantsome.nl/products/dicksonia-antartica-tasmaande-boomvaren	29.95
13/04/2021	22:02:54	Devin	Dicksonia Antarctica (Tasmaanse Boomvaren)	https://www.plantsome.nl/products/dicksonia-antartica-tasmaande-boomvaren	29.95
